Date,Formation Date,Portfolio Return,Benchmark Return,Active Return,Portfolio Growth,Benchmark Growth
2009-04-30,2008-06-30,0.052971778698966174,0.052351283932834974,0.0006204947661311994,0.8095653191653795,0.8089529424136948
2009-05-29,2008-06-30,0.06096434154734622,0.061349545052285764,-0.0003852035049395422,0.8589199357878641,0.8585818373994829
2009-06-30,2008-06-30,0.0007365462362416721,0.0011531960954623672,-0.0004166498592206951,0.8595525700338016,0.8595719506220069
2009-07-31,2009-06-30,0.04896537944284627,0.04889520936685672,7.017007598954933e-05,0.9016408877765802,0.9016009011135473
2009-08-31,2009-06-30,0.02600521541906578,0.026068030280077745,-6.281486101196443e-05,0.9250882532938479,0.9251038607043206
2009-09-30,2009-06-30,0.0332670466094507,0.03314324233135532,0.00012380427809537825,0.9558632073340296,0.9557648021413163
2009-10-30,2009-06-30,-0.004953975175718612,-0.004765316050334971,-0.00018865912538364085,0.9511278847335141,0.9512102807893271
2009-11-30,2009-06-30,0.031157857445857896,0.030804969454536417,0.0003528879913214794,0.9807629917788213,0.9805122844338834
2009-12-31,2009-06-30,-0.010120677775132184,-0.010412666147720982,0.0002919883725887983,0.9708370055652533,0.9703025373623342
2010-01-29,2009-06-30,-0.01589748263969686,-0.015368154288278382,-0.0005293283514184767,0.9554031411233045,0.9553907782618418
2010-02-26,2009-06-30,0.006353790412016922,0.005951433444103714,0.00040235696791320833,0.9614735724409846,0.9610767228917777
2010-03-31,2009-06-30,0.0248870532924109,0.024151678740529304,0.0007353745518815964,0.985401816477568,0.9842883391480607
2010-04-30,2009-06-30,0.003420419882176371,0.003520392994621741,-9.997311244537002e-05,0.9887723044425806,0.9877534209218853
2010-05-28,2009-06-30,-0.050562198694301494,-0.04937680658835595,-0.0011853921059455444,0.9387778027219325,0.9389813113000385
2010-06-30,2009-06-30,-0.006061164076756868,-0.004904080806122818,-0.0011570832706340505,0.9330877164280176,0.9343764710739839
2010-07-30,2010-06-30,0.0528604121966814,0.052504295898654636,0.00035611629802676653,0.9824111177340628,0.983435249791993
2010-08-31,2010-06-30,-0.006498764237253751,-0.006443342856415217,-5.542138083853426e-05,0.9760266594958522,0.9770986393004989
2010-09-30,2010-06-30,0.05364098339219401,0.05337090617465544,0.000270077217538571,1.0283816893282078,1.0292472791019893
2010-10-29,2010-06-30,0.0228147093745422,0.022725281670204687,8.942770433751149e-05,1.0518439186963315,1.0526372134278736
2010-11-30,2010-06-30,-0.03001315338993943,-0.02963917515627552,-0.00037397823366390817,1.0202747658222235,1.021437914683071
2010-12-31,2010-06-30,0.039717421004997644,0.03898451496381938,0.0007329060411782606,1.06079744823716,1.0612581763526456
2011-01-31,2010-06-30,0.007530877491086662,0.007578475249845115,-4.7597758758453554e-05,1.0687861838626915,1.0693008951758298
2011-02-28,2010-06-30,0.017026847723816445,0.017068146838987483,-4.129911517103749e-05,1.0869842434646404,1.0875518798697517
